OID;VIN;SPZ;VIN_17_ZNAKU
393;WDB9036611R571138;1AK4601;ANO
1153;WDB9066131S241986;2AE2516;ANO
1161;ZCFC35D100D413078;3AF9135;ANO
3530;ZCFC3590005509386;4AA6455;ANO
3704;ZCFA80F1102400869;4E85158;ANO
5250;WBALM71000E298719;1AE8662;ANO
10330;WVWZZZ1KZCW196957;7AN8798;ANO
12549;TMBAJ6NH7E4036089;4AD9542;ANO
12550;TMBAJ6NH3E4034291;4AC8366;ANO
12950;WDB9061551N572098;3AV7073;ANO
12969;WAUZZZ8P95A109073;7AD1350;ANO
13241;ZCFC35C0005621554;8U35102;ANO
13320;WDB9061551N331996;5AP2700;ANO
13333;ZCFC357130D452230;;ANO
13335;VF1MBU6F448628740;8T77504;ANO
13336;ZCFC2981005635841;;ANO
13729;ZCFC35D1005661007;7U10389;ANO
13808;TMBBG21U328542795;4A44040;ANO
13990;ZFA24400007530250;8S69015;ANO
14678;WF0VXXTTFV5E52385;1AK5232;ANO
14706;VF1FW1ABE46232972;8B37156;ANO
15218;ZCFC3571605917989;BL018TB;ANO
15225;ZCFC3571605950229;BL930FJ;ANO
15425;WDD2220851A105692;SEF44X44;ANO
15606;ZCFC50D0005662986;9AH5778;ANO
15825;VF3YBTMFB12485712;3AS2729;ANO
15827;VF3YBTMFB12493252;3AS3013;ANO
16060;WDF44760513202019;5AU1054;ANO
16086;WF0YXXTTGYFU04339;5AX6895;ANO
16111;WF0YXXTTGYGB72864;5AY3086;ANO
16113;WF0YXXTTGYHU88743;6AF3263;ANO
16118;WDF44760513202055;5AU1055;ANO
16119;WDF44760513221674;5AY4883;ANO
16122;WDF44760513248412;5AZ6055;ANO
16123;WDF44760513240044;6AA4008;ANO
16148;WBAJW81030BK94334;8AR4005;ANO
16158;JMZNB2WPJN6M47390;8A75134;ANO
16175;WV1ZZZ2FZC7006774;4AR2584;ANO
16236;ZCFC2960105365876;3L09916;ANO
16324;VF3YD3MFC12K94960;7AP0077;ANO
16350;ZFA25000002B51143;5E76697;ANO
16352;ZFA25000002C07833;5E79691;ANO
16366;VF1VB000X62901226;;ANO
16381;VF3YD3MFC12K94287;7AN7578;ANO
16384;VF3YD3MFC12K95252;7AN7716;ANO
16434;VF1VB000062901347;9AA3004;ANO
16455;WV2ZZZ70ZWH123632;2AC7456;ANO
16485;VF3YB2MRB12D04421;8U48416;ANO
16491;VF1VB000056711345;5E71364;ANO
16511;VF1VB000962549059;;ANO
16518;WAUZZZ8E05A553490;8AZ0708;ANO
16521;WDB9061551N623922;4AR8459;ANO
16522;WDB9061551N674442;5E79242;ANO
16548;VF654ANA000008860;2J07359;ANO
16570;WF0XXXTTFXDR80095;4SV7220;ANO
16571;R75603;;NE
16594;WDB9061331N443407;1AR9892;ANO
16618;VF1MAF4EE46377198;8AY3175;ANO
16631;WF0XXXTTFXBE24924;2AI5588;ANO
16660;TMBAJ6NH1F4021301;4AL1387;ANO
16663;WF0ZXXTTFZ8A41326;3Z38149;ANO
16682;VF1MB000962768874;;ANO
16685;WF0XXXTTGXJM58637;;ANO
16689;ZCFC60A0005544099;3AT6811;ANO
16714;VF3YBTMFB12874472;6H06278;ANO
16715;VF3YBUMFB12868757;7H08429;ANO
16719;VF1MB000662768816;1AFX096;ANO
16722;WF0DXXTTGDJJ14634;;ANO
16726;WDB9066371P263497;9AN7225;ANO
16727;WDB9066351P180536;2TA4230;ANO
16748;TYBFE73BD4DU05918;5H20868;ANO
16764;ZCFC335AX05013129;8B97530;ANO
16766;VF1MB000962768809;;ANO
16769;WDB67301015225939;1H34915;ANO
16783;ZCFC150D205291025;;ANO
16800;WDB9066351P539475;2TA9107;ANO
16801;WDB9066351P504239;1TV1380;ANO
16807;ZCFC150AX05017965;3SH5653;ANO
16819;WDB9036111R908763;1AA3419;ANO
16821;WDB9036111R907172;1AA5947;ANO
16836;WDB9036111R761052;3SH4718;ANO
16838;WDB9036111R759106;4A57328;ANO
16848;ZCFC40A300D383002;6AP2065;ANO
16859;ZCFC135DX05213105;6E05717;ANO
16864;ZFA25000002G50700;6E15216;ANO
16869;ZCFC135D505130262;9T76232;ANO
16871;ZCFC35A8075637683;2AS5235;ANO
16875;ZCFC50D000D344408;4AY0871;ANO
16886;WF0YXXTTGYKJ51210;;ANO
16887;WF0YXXTTGYJB09819;9AP2680;ANO
16894;ZFA25000002529062;4L84824;ANO
16904;ZCFC65D0005707652;3J05882;ANO
