VIN;OID;SPZ;POUZITY_ZAZNAM
VF6VG000X56476884;19652;7AU1423;ANO
VF6VG000X56476884;14742;7AU1423;NE
ZCFC3571605910819;18370;2AX6976;ANO
ZCFC3571605910819;14746;2AX6976;NE
ZCFC3571605911328;19653;2AX6991;ANO
ZCFC3571605911328;14748;2AX6991;NE
ZCFC3571605910820;18257;2AX9351;ANO
ZCFC3571605910820;14749;2AX9351;NE
ZCFC3571605956884;19651;3AN8311;ANO
ZCFC3571605956884;14756;3AN8311;NE
ZCFC3571605951805;17356;6AN3901;ANO
ZCFC3571605951805;14757;6AN3901;NE
ZCFC35716C5921118;18341;3AD2766;ANO
ZCFC35716C5921118;14762;3AD2766;NE
ZCFC3571605910818;18777;4AM6309;ANO
ZCFC3571605910818;14763;4AM6309;NE
ZCFC3571605911330;17357;2AX9466;ANO
ZCFC3571605911330;14765;2AX9466;NE
ZCFC3571605950228;18667;3AK2423;ANO
ZCFC3571605950228;14766;3AK2423;NE
WDB9066371P189543;17318;4AZ3877;ANO
WDB9066371P189543;15093;4AZ3877;NE
ZFA25000002C42548;18355;7AP8150;ANO
ZFA25000002C42548;15096;7AP8150;NE
VF1MAFAAA46120565;18929;8B17485;ANO
VF1MAFAAA46120565;15910;8B17485;NE
ZFA25000002B62427;19386;5E80978;ANO
ZFA25000002B62427;16356;5E80978;NE
WDB9066351P332623;17705;1TN6949;ANO
WDB9066351P332623;16728;1TN6949;NE
ZCFC170C605122421;17940;7J40334;ANO
ZCFC170C605122421;16975;;NE
VF1MA000262306398;19365;9AL9490;ANO
VF1MA000262306398;17094;9AL9490;NE
VF1MA000262766807;19366;9AM1373;ANO
VF1MA000262766807;17106;9AM1373;NE
VF1MA000660931043;18938;9AR3138;ANO
VF1MA000660931043;17184;;NE
VF1MA000262767004;18934;9AR3121;ANO
VF1MA000262767004;17264;;NE
VF1MA000162767141;18936;9AR3115;ANO
VF1MA000162767141;17265;;NE
VF1VB000665828757;19632;9AR0912;ANO
VF1VB000665828757;17308;1UI7078;NE
ZFA25000002A39510;17550;5AL9384;ANO
ZFA25000002A39510;17343;5AL9384;NE
ZFA25000002E97202;17557;6AL9657;ANO
ZFA25000002E97202;17345;6AL9657;NE
ZFA25000002G40107;17555;7AB3719;ANO
ZFA25000002G40107;17346;7AB3719;NE
VF1VB000662901417;19706;;ANO
VF1VB000662901417;17433;9AZ7028;NE
ZCFCA35B30D694383;19596;9AU7803;ANO
ZCFCA35B30D694383;17440;;NE
ZCFC170D705294210;19139;5SX5373;ANO
ZCFC170D705294210;17441;;NE
ZCFC235A805085515;18516;5AH1271;ANO
ZCFC235A805085515;17448;5AH1271;NE
ZFA25000002160176;19223;5C59644;ANO
ZFA25000002160176;17484;5C59644;NE
VF7VFAHHWHZ090073;18666;9C49845;ANO
VF7VFAHHWHZ090073;17485;9C49845;NE
ZCFC150B805174290;17558;7AB0144;ANO
ZCFC150B805174290;17500;7AB0144;NE
ZCFC70A320D512496;18642;6E51836;ANO
ZCFC70A320D512496;17532;6E51836;NE
ZFA25000002B14307;17552;5AP4215;ANO
ZFA25000002B14307;17551;5AP4215;NE
ZFA25000002E96730;17554;6AL9658;ANO
ZFA25000002E96730;17553;6AL9658;NE
ZFA25000002947710;17560;5AA1637;ANO
ZFA25000002947710;17559;5AA1637;NE
ZCFA71EF202668088;17562;4SE4573;ANO
ZCFA71EF202668088;17561;4SE4573;NE
ZFA25000002E96695;18544;6AM0038;ANO
ZFA25000002E96695;17567;6AM0038;NE
WF0FXXTTFF9R22116;17815;3L85785;ANO
WF0FXXTTFF9R22116;17591;3L85785;NE
ZCFA71EF002668171;17642;4SE4572;ANO
ZCFA71EF002668171;17641;4SE4572;NE
VF1MB14S252358095;18802;5Z46805;ANO
VF1MB14S252358095;17670;5Z46805;NE
ZCFC50F0005957320;19267;8B29296;ANO
ZCFC50F0005957320;17853;8B29296;NE
WBA21EY0009T46615;18023;1AAV630;ANO
WBA21EY0009T46615;18012;;NE
VF7YBSMFA12945173;19211;4AZ8666;ANO
VF7YBSMFA12945173;18139;4AZ8666;NE
ZFA25000002C39776;19481;6AH1297;ANO
ZFA25000002C39776;18194;6AH1297;NE
WMA08VUZ5P9017710;19255;5SZ0891;ANO
WMA08VUZ5P9017710;18454;5SZ0891;NE
WV1ZZZSYZK9024638;19649;1TN6630;ANO
WV1ZZZSYZK9024638;18623;1TN6630;NE
ZCFC135D1K5277875;19436;6L77808;ANO
ZCFC135D1K5277875;18634;8P98958;NE
ZCFC535DX05417987;19551;8AX0015;ANO
ZCFC535DX05417987;18894;8AX0015;NE
ZCFC535C3N5503656;19739;5SK6839;ANO
ZCFC535C3N5503656;19064;5SK6839;NE
VF1MA000X65689652;19552;2BK2295;ANO
VF1MA000X65689652;19150;2BK2295;NE
VF1MA000665689650;19617;2BK2298;ANO
VF1MA000665689650;19193;2BK2298;NE
