OID;VIN;SPZ_TIRBAZAR;SPZ_UNIQA;STATUS;DETAIL
17169;0831831;;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
18451;1C4RJFBG5KC687124;6E29281;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
19700;1G1F91R79J0164363;7AR9826;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
19713;6FPPXXMJ2PJA54055;5SV6453;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
19306;7H81B24K3NF000143;EL12CD;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
19302;7H81B24K7NF000131;EL93CD;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
19304;7H81B24KXNF000138;EL68CC;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
18586;JAATFS54HS7101482;4AK3731;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
17415;JMZGH148281129208;1ACS680;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
19422;KMFAB17RPGK004441;5AV3815;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
17701;KMFAB17RPJK012949;1TJ7928;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
17700;KMFAB17RPJK012952;1TJ8364;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
17699;KMFAB17RPJK012953;1TJ8357;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
17537;KMFAB17RPJK012956;1TJ8369;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
17536;KMFAB17RPJK012958;1TJ8371;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
19928;KMFAB17RPJK013191;8AX4990;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
19719;KMFAB17RPJK013263;7AF7244;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
19429;KMFAB17RPJK013749;6E58174;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
19715;KMFAB17RPJK014020;5SI9296;;CHYBÍ V UNIQA;Aktivní vozidlo nebylo nalezeno v UNIQA ani Allianz a poznámka TIRBazar neobsahuje informaci o depozitu.
